Index,Player,Tm,Year,Pos,PTS,FG,3P,2P,FT,TRB,AST,TOV,STL,BLK
18949,Aaron Gray,CHI,2008,C,262,103,0,103,56,168,41,57,21,16
18950,Gerald Green,TOT,2008,SF,153,52,15,37,34,64,29,32,8,4
18951,Gerald Green,MIN,2008,SF,147,49,15,34,34,62,29,32,8,4
18952,Gerald Green,HOU,2008,SF,6,3,0,3,0,2,0,0,0,0
18953,Jeff Green,SEA,2008,SF,838,320,21,299,177,379,119,158,46,49
18954,Taurean Green,TOT,2008,SG-PG,27,7,2,5,11,10,11,9,2,0
18955,Taurean Green,POR,2008,PG,17,4,1,3,8,4,8,7,1,0
18956,Taurean Green,DEN,2008,SG,10,3,1,2,3,6,3,2,1,0
18957,Willie Green,PHI,2008,SG,921,379,51,328,112,182,151,109,54,22
18958,Orien Greene,SAC,2008,SG,6,3,0,3,0,6,3,7,3,1
18959,Adrian Griffin,TOT,2008,SG-SF,65,30,0,30,5,59,27,21,17,2
18960,Adrian Griffin,CHI,2008,SG,51,24,0,24,3,37,22,16,12,1
18961,Adrian Griffin,SEA,2008,SF,14,6,0,6,2,22,5,5,5,1
18962,Richard Hamilton,DET,2008,SG,1244,499,62,437,184,235,299,132,73,10
18963,Anfernee Hardaway,MIA,2008,SF,60,22,8,14,8,35,35,13,19,1
18964,Matt Harpring,UTA,2008,SF,622,237,2,235,146,240,82,95,45,14
18965,Al Harrington,GSW,2008,C,1102,401,153,248,147,439,132,90,74,16
18966,Othella Harrington,CHA,2008,C,46,18,0,18,10,42,4,11,1,4
18967,Devin Harris,TOT,2008,PG,946,321,56,265,248,173,369,161,90,10
18968,Devin Harris,DAL,2008,PG,560,187,25,162,161,91,206,93,56,2
18969,Devin Harris,NJN,2008,PG,386,134,31,103,87,82,163,68,34,8
18970,Mike Harris,HOU,2008,PF,62,27,0,27,8,54,3,9,6,3
18971,David Harrison,IND,2008,C,229,90,0,90,49,118,14,58,20,59
18972,Jason Hart,UTA,2008,PG,165,58,11,47,38,55,86,28,30,3
18973,Udonis Haslem,MIA,2008,PF,589,237,0,237,115,443,68,67,39,18
18974,Trenton Hassell,TOT,2008,SG,123,57,2,55,7,83,41,22,13,3
18975,Trenton Hassell,DAL,2008,SG,76,37,1,36,1,44,26,14,9,1
18976,Trenton Hassell,NJN,2008,SG,47,20,1,19,6,39,15,8,4,2
18977,Spencer Hawes,SAC,2008,C,334,146,4,142,38,230,44,56,14,40
18978,Chuck Hayes,HOU,2008,PF,237,113,0,113,11,427,91,62,85,43
18979,Jarvis Hayes,DET,2008,SF,552,217,73,144,45,178,62,47,47,6
18980,Brendan Haywood,WAS,2008,C,848,316,0,316,216,576,71,108,31,133
18981,Luther Head,HOU,2008,SG,557,206,79,127,66,135,138,70,44,9
18982,Walter Herrmann,TOT,2008,PF,153,56,20,36,21,73,18,12,7,1
18983,Walter Herrmann,CHA,2008,PF,68,25,9,16,9,36,4,4,4,0
18984,Walter Herrmann,DET,2008,PF,85,31,11,20,12,37,14,8,3,1
18985,Nene Hilario,DEN,2008,PF,85,29,0,29,27,87,15,21,9,14
18986,Grant Hill,PHO,2008,SF,919,358,33,325,170,353,203,96,65,56
18987,Kirk Hinrich,CHI,2008,PG,862,330,84,246,118,244,452,157,87,19
18988,Ryan Hollins,CHA,2008,PF,147,46,0,46,55,107,14,25,10,30
18989,Al Horford,ATL,2008,C,821,333,0,333,155,785,124,137,60,76
18990,Robert Horry,SAS,2008,PF,112,38,18,20,18,109,47,22,21,19
18991,Eddie House,BOS,2008,PG,584,217,117,100,33,167,152,76,59,10
18992,Dwight Howard,ORL,2008,C,1695,583,0,583,529,1161,110,263,74,176
18993,Josh Howard,DAL,2008,SF,1513,567,67,500,312,532,164,114,59,32
18994,Juwan Howard,DAL,2008,PF,57,23,0,23,11,81,17,17,5,2
18995,Troy Hudson,GSW,2008,PG,28,9,4,5,6,7,9,7,3,0
18996,Larry Hughes,TOT,2008,PG-SG,827,305,67,238,150,230,181,116,99,17
18997,Larry Hughes,CLE,2008,PG,491,180,43,137,88,143,94,72,60,11
18998,Larry Hughes,CHI,2008,SG,336,125,24,101,62,87,87,44,39,6
18999,Kris Humphries,TOR,2008,PF,397,161,0,161,75,259,28,47,25,28
19000,Lindsey Hunter,DET,2008,PG,58,22,7,15,7,13,33,13,13,2
19001,Steven Hunter,DEN,2008,C,39,15,0,15,9,29,0,7,0,6
19002,Andre Iguodala,PHI,2008,SF,1630,582,101,481,365,446,391,214,171,49
19003,Zydrunas Ilgauskas,CLE,2008,C,1029,417,0,417,195,682,104,135,34,120
19004,Didier Ilunga-Mbenga,TOT,2008,C,83,39,0,39,5,72,10,12,7,26
19005,Didier Ilunga-Mbenga,GSW,2008,C,19,9,0,9,1,31,4,4,3,10
19006,Didier Ilunga-Mbenga,LAL,2008,C,64,30,0,30,4,41,6,8,4,16
19007,Allen Iverson*,DEN,2008,SG,2164,712,95,617,645,243,586,245,160,12
19008,Royal Ivey,MIL,2008,PG,418,149,35,114,85,118,160,75,45,7
19009,Jarrett Jack,POR,2008,SG,814,267,65,202,215,234,313,178,61,1
19010,Bobby Jackson,TOT,2008,SG-PG,553,204,81,123,64,181,139,59,45,5
19011,Bobby Jackson,NOH,2008,SG,325,116,53,63,40,110,76,31,32,3
19012,Bobby Jackson,HOU,2008,PG,228,88,28,60,24,71,63,28,13,2
19013,Luke Jackson,MIA,2008,SF,79,26,11,15,16,33,17,9,8,0
19014,Stephen Jackson,GSW,2008,SF,1466,488,182,306,308,318,300,197,92,29
19015,Casey Jacobsen,MEM,2008,SG,107,39,16,23,13,65,20,16,5,1
19016,Jerome James,NYK,2008,C,4,1,0,1,2,3,0,0,0,0
19017,LeBron James,CLE,2008,SF,2250,794,113,681,549,592,539,255,138,81
19018,Mike James,TOT,2008,PG,272,101,31,70,39,69,60,36,21,2
19019,Mike James,HOU,2008,PG,215,79,24,55,33,52,54,29,17,2
19020,Mike James,NOH,2008,PG,57,22,7,15,6,17,6,7,4,0
19021,Antawn Jamison,WAS,2008,PF,1689,618,120,498,333,806,120,113,106,34
19022,Marko Jaric,MIN,2008,SG,621,227,46,181,121,222,311,128,97,32
19023,Al Jefferson,MIN,2008,C,1726,721,0,721,284,911,117,167,74,119
19024,Richard Jefferson,NJN,2008,SF,1857,619,77,542,542,342,252,199,76,21
19025,Jared Jeffries,NYK,2008,SF,269,108,4,104,49,243,66,64,36,23
19026,Yi Jianlian,MIL,2008,PF,566,219,6,213,122,344,55,90,36,56
19027,Alexander Johnson,MIA,2008,PF,179,61,0,61,57,94,13,42,13,10
19028,Amir Johnson,DET,2008,PF,221,92,0,92,37,235,29,39,24,82
19029,Anthony Johnson,TOT,2008,PG,387,155,42,113,35,137,262,84,52,9
19030,Anthony Johnson,ATL,2008,PG,283,115,27,88,26,98,202,50,42,8
19031,Anthony Johnson,SAC,2008,PG,104,40,15,25,9,39,60,34,10,1
19032,DerMarr Johnson,SAS,2008,SF,17,7,3,4,0,1,1,0,1,0
19033,Joe Johnson,ATL,2008,SG,1779,647,169,478,316,367,474,223,84,18
19034,Linton Johnson,TOT,2008,PF,21,9,1,8,2,14,4,5,0,1
19035,Linton Johnson,PHO,2008,PF,15,7,1,6,0,13,3,2,0,1
19036,Linton Johnson,TOR,2008,PF,6,2,0,2,2,1,1,3,0,0
19037,Bobby Jones,TOT,2008,C-SF,178,60,18,42,40,92,28,28,15,3
19038,Bobby Jones,DEN,2008,C,84,26,9,17,23,38,11,14,5,1
19039,Bobby Jones,MEM,2008,SF,40,14,3,11,9,27,11,5,5,2
19040,Bobby Jones,HOU,2008,SF,4,2,0,2,0,1,0,1,1,0
19041,Bobby Jones,MIA,2008,SF,48,17,6,11,8,24,5,7,2,0
19042,Bobby Jones,SAS,2008,SF,2,1,0,1,0,2,1,1,2,0
19043,Dahntay Jones,SAC,2008,SG,81,23,1,22,34,35,12,10,8,6
19044,Damon Jones,CLE,2008,SG,437,151,115,36,20,72,126,36,19,1
19045,Dwayne Jones,CLE,2008,PF,78,25,0,25,28,140,10,17,10,25
19046,Eddie Jones,DAL,2008,SG,176,66,34,32,10,132,69,29,26,8
19047,Fred Jones,NYK,2008,SG,532,182,74,108,94,170,166,78,48,18
19048,James Jones,POR,2008,SF,463,143,91,52,86,161,34,28,24,15
19049,Solomon Jones,ATL,2008,PF,35,12,0,12,11,42,0,11,3,5
19050,Chris Kaman,LAC,2008,C,878,338,0,338,202,711,107,164,33,155
19051,Jason Kapono,TOR,2008,SF,580,243,57,186,37,120,65,58,34,2
19052,Coby Karl,LAL,2008,SG,30,9,4,5,8,14,9,5,4,2
19053,Viktor Khryapa,CHI,2008,PF,32,12,0,12,8,20,8,6,6,0
19054,Jason Kidd,TOT,2008,PG,864,305,119,186,135,600,806,266,136,26
19055,Jason Kidd,NJN,2008,PG,577,201,84,117,91,412,530,185,74,15
19056,Jason Kidd,DAL,2008,PG,287,104,35,69,44,188,276,81,62,11
19057,Tarence Kinsey,MEM,2008,SG,40,16,3,13,5,12,2,3,3,0
19058,Andrei Kirilenko,UTA,2008,SF,792,275,44,231,198,339,285,140,86,109
19059,Linas Kleiza,DEN,2008,SF,880,311,94,217,164,333,95,89,44,19
19060,Brevin Knight,LAC,2008,PG,338,138,0,138,62,142,328,71,100,11
19061,Kyle Korver,TOT,2008,SG-PF,740,255,111,144,119,172,101,75,42,29
19062,Kyle Korver,PHI,2008,PF,249,90,38,52,31,73,33,28,20,6
19063,Kyle Korver,UTA,2008,SG,491,165,73,92,88,99,68,47,22,23
19064,Nenad Krstic,NJN,2008,C,298,123,0,123,52,200,27,41,9,17
19065,Raef LaFrentz,POR,2008,C,65,27,0,27,11,67,6,10,12,17
19066,Carl Landry,HOU,2008,PF,342,135,0,135,72,207,21,26,17,7
19067,Keith Langford,SAS,2008,SG,2,1,0,1,0,2,0,0,0,0
19068,Stephane Lasme,TOT,2008,PF-SF,83,32,0,32,19,53,3,15,13,22
19069,Stephane Lasme,GSW,2008,SF,0,0,0,0,0,0,0,0,0,0
19070,Stephane Lasme,MIA,2008,PF,83,32,0,32,19,53,3,15,13,22
19071,Acie Law,ATL,2008,PG,235,95,7,88,38,57,113,56,29,0
19072,David Lee,NYK,2008,PF,876,341,0,341,194,724,95,97,55,29
19073,Rashard Lewis,ORL,2008,PF,1476,516,226,290,218,437,196,140,99,38
19074,Kyle Lowry,MEM,2008,PG,791,256,36,220,243,250,296,127,92,22
19075,Tyronn Lue,TOT,2008,PG,290,113,39,74,25,54,74,27,11,1
19076,Tyronn Lue,ATL,2008,PG,226,86,30,56,24,41,59,22,11,0
19077,Tyronn Lue,DAL,2008,PG,64,27,9,18,1,13,15,5,0,1
19078,Mark Madsen,MIN,2008,PF,9,3,0,3,3,38,4,9,3,2
19079,Corey Maggette,LAC,2008,SF,1547,458,78,380,553,394,189,195,71,7
19080,Jamaal Magloire,TOT,2008,C,56,18,0,18,20,89,7,30,1,10
19081,Jamaal Magloire,NJN,2008,C,44,15,0,15,14,81,7,23,0,10
19082,Jamaal Magloire,DAL,2008,C,12,3,0,3,6,8,0,7,1,0
19083,Ian Mahinmi,SAS,2008,C,21,6,0,6,9,5,1,2,0,4
19084,Stephon Marbury,NYK,2008,PG,333,111,28,83,83,59,113,48,21,2
19085,Shawn Marion,TOT,2008,PF,972,400,66,334,106,643,138,86,125,85
19086,Shawn Marion,PHO,2008,PF,743,304,58,246,77,464,98,49,95,70
19087,Shawn Marion,MIA,2008,PF,229,96,8,88,29,179,40,37,30,15
19088,Sean Marks,PHO,2008,C,59,23,1,22,12,36,4,8,3,10
19089,Donyell Marshall,TOT,2008,PF,98,32,15,17,19,76,10,15,6,16
19090,Donyell Marshall,CLE,2008,PF,41,13,8,5,7,30,5,6,2,9
19091,Donyell Marshall,SEA,2008,PF,57,19,7,12,12,46,5,9,4,7
19092,Darrick Martin,TOR,2008,PG,27,10,2,8,5,7,21,1,6,0
19093,Kenyon Martin,DEN,2008,PF,877,376,2,374,123,461,90,91,88,85
19094,Kevin Martin,SAC,2008,SG,1443,417,107,310,502,273,129,131,62,5
19095,Desmond Mason,MIL,2008,SF,574,230,0,230,114,256,121,83,40,30
19096,Roger Mason,WAS,2008,PG,724,266,130,136,62,130,134,69,40,18
19097,Jason Maxiell,DET,2008,C,651,240,0,240,171,433,46,71,21,94
19098,Rashad McCants,MIN,2008,SG,1114,428,142,286,116,206,162,172,66,18
19099,Jelani McCoy,DEN,2008,C,3,1,0,1,1,7,0,4,0,5
19100,Antonio McDyess,DET,2008,PF,683,293,0,293,97,666,89,75,61,53
19101,Tracy McGrady,HOU,2008,SG,1427,548,86,462,245,339,387,160,68,30
19102,Dominic McGuire,WAS,2008,SG,93,39,1,38,14,139,40,40,20,26
19103,Jeff McInnis,CHA,2008,PG,242,108,3,105,23,96,220,76,23,3
19104,Josh McRoberts,POR,2008,PF,12,6,0,6,0,10,2,2,1,0
19105,Chris Mihm,LAL,2008,C,82,32,0,32,18,77,13,17,4,14
19106,C.J. Miles,UTA,2008,SG,297,113,30,83,41,78,53,27,32,8
19107,Darko Milicic,MEM,2008,C,505,219,0,219,67,424,58,101,32,114
19108,Andre Miller,PHI,2008,PG,1398,569,3,566,257,324,565,206,105,6
19109,Brad Miller,SAC,2008,C,964,337,28,309,262,681,264,164,69,74
19110,Mike Miller,MEM,2008,SG,1147,414,155,259,164,467,240,182,35,16
19111,Paul Millsap,UTA,2008,PF,661,253,0,253,155,460,81,87,72,73
19112,Yao Ming*,HOU,2008,C,1209,432,0,432,345,594,129,183,25,111
19113,Cuttino Mobley,LAC,2008,SG,984,377,67,310,163,275,202,123,78,34
19114,Nazr Mohammed,TOT,2008,C,639,272,0,272,95,494,72,101,45,60
19115,Nazr Mohammed,DET,2008,C,69,28,0,28,13,73,6,11,7,8
19116,Nazr Mohammed,CHA,2008,C,570,244,0,244,82,421,66,90,38,52
19117,Jamario Moon,TOR,2008,SF,661,279,40,239,63,484,90,51,80,108
19118,Mikki Moore,SAC,2008,PF,698,282,0,282,134,494,84,110,35,46
19119,Randolph Morris,NYK,2008,C,56,21,0,21,14,37,2,9,4,2
19120,Alonzo Mourning*,MIA,2008,C,149,52,0,52,45,93,7,25,4,42
19121,Troy Murphy,IND,2008,PF,916,315,94,221,192,543,165,96,49,32
19122,Ronald Murray,TOT,2008,PG,396,154,20,134,68,83,144,84,38,4
19123,Ronald Murray,DET,2008,PG,142,57,6,51,22,36,64,31,13,1
19124,Ronald Murray,IND,2008,PG,254,97,14,83,46,47,80,53,25,3
19125,Dikembe Mutombo*,HOU,2008,C,118,43,0,43,32,199,5,17,11,48
19126,Bostjan Nachbar,NJN,2008,PF,738,245,94,151,154,260,88,85,44,21
19127,Eduardo Najera,DEN,2008,PF,464,174,53,121,63,337,95,59,69,40
19128,Steve Nash,PHO,2008,PG,1371,485,179,306,222,282,898,295,53,5
19129,Juan Carlos,MEM,2008,SG,896,308,156,152,124,210,177,134,48,1
19130,Jameer Nelson,ORL,2008,PG,755,283,64,219,125,243,383,141,63,4
19131,Rasho Nesterovic,TOR,2008,C,552,257,1,256,37,342,82,60,20,52
19132,Ira Newble,TOT,2008,SG-SF,188,76,16,60,20,125,18,34,28,8
19133,Ira Newble,CLE,2008,SG,177,71,15,56,20,114,14,31,27,7
19134,Ira Newble,SEA,2008,SF,4,2,0,2,0,0,1,0,0,0
19135,Ira Newble,LAL,2008,SF,7,3,1,2,0,11,3,3,1,1
19136,Demetris Nichols,TOT,2008,SF,15,6,3,3,0,5,1,4,0,3
19137,Demetris Nichols,CLE,2008,SF,2,1,0,1,0,1,0,2,0,0
19138,Demetris Nichols,CHI,2008,SF,13,5,3,2,0,4,1,2,0,3
19139,Joakim Noah,CHI,2008,C,488,177,0,177,134,416,84,89,68,64
19140,Andres Nocioni,CHI,2008,SF,1080,379,126,253,196,342,95,133,25,43
19141,Steve Novak,HOU,2008,SF,135,49,34,15,3,35,6,4,2,3
19142,Dirk Nowitzki,DAL,2008,PF,1817,630,79,551,478,659,266,160,51,71
19143,Patrick O'Bryant,GSW,2008,C,35,16,0,16,3,29,4,7,4,9
19144,Jermaine O'Neal,IND,2008,C,571,225,0,225,121,283,93,106,20,87
19145,Shaquille O'Neal*,TOT,2008,C,832,331,0,331,170,554,93,181,32,88
19146,Shaquille O'Neal*,MIA,2008,C,470,191,0,191,88,258,45,98,19,54
19147,Shaquille O'Neal*,PHO,2008,C,362,140,0,140,82,296,48,83,13,34
19148,Fabricio Oberto,SAS,2008,PF,397,180,0,180,37,430,95,51,37,20
19149,Lamar Odom,LAL,2008,PF,1094,417,31,386,229,819,273,156,75,72
19150,Emeka Okafor,CHA,2008,C,1133,460,0,460,213,876,70,164,62,138
19151,Mehmet Okur,UTA,2008,C,1047,374,114,260,185,556,145,104,55,29
19152,Kevin Ollie,PHI,2008,SG,70,29,0,29,12,19,38,5,10,0
19153,Bo Outlaw,ORL,2008,PF,4,2,0,2,0,0,0,1,0,0
19154,Travis Outlaw,POR,2008,PF,1092,417,40,377,218,376,106,107,59,63
19155,Andre Owens,IND,2008,PG,123,40,18,22,25,47,47,24,13,3
19156,Zaza Pachulia,ATL,2008,C,322,107,0,107,108,248,36,69,24,13
19157,Jannero Pargo,NOH,2008,SG,644,254,65,189,71,130,192,93,50,5
19158,Anthony Parker,TOR,2008,SG,1025,395,133,262,102,334,183,87,79,17
19159,Smush Parker,TOT,2008,PG,165,64,18,46,19,51,84,44,24,6
19160,Smush Parker,MIA,2008,PG,43,17,6,11,3,19,15,8,5,3
19161,Smush Parker,LAC,2008,PG,122,47,12,35,16,32,69,36,19,3
19162,Tony Parker,SAS,2008,PG,1295,515,17,498,248,221,411,164,55,8
19163,Ruben Patterson,LAC,2008,SF,102,39,0,39,24,64,17,27,21,7
19164,Chris Paul,NOH,2008,PG,1684,630,92,538,332,321,925,201,217,4
19165,Sasha Pavlovic,CLE,2008,SG,379,146,34,112,53,128,82,55,29,6
19166,Oleksiy Pecherov,WAS,2008,C,125,44,17,27,20,66,7,17,6,5
19167,Kendrick Perkins,BOS,2008,C,542,214,0,214,114,474,84,125,31,114
19168,Kosta Perovic,GSW,2008,C,10,3,0,3,4,13,1,1,0,2
19169,Morris Peterson,NOH,2008,SG,608,215,113,102,65,206,67,41,47,7
19170,Johan Petro,SEA,2008,C,432,184,0,184,64,370,32,73,35,42
19171,Eric Piatkowski,PHO,2008,SF,39,12,11,1,4,12,10,6,0,1
19172,Paul Pierce,BOS,2008,SF,1570,509,143,366,409,411,363,221,101,36
19173,Mickael Pietrus,GSW,2008,SF,472,170,66,104,66,242,49,48,66,43
19174,Scot Pollard,BOS,2008,C,39,12,0,12,15,37,3,5,3,6
19175,James Posey,BOS,2008,PF,545,173,106,67,93,322,114,65,72,19
19176,Leon Powe,BOS,2008,C,445,154,0,154,137,227,15,43,15,16
19177,Josh Powell,LAC,2008,C,353,145,0,145,63,331,47,65,14,23
19178,Kasib Powell,MIA,2008,SF,84,35,8,27,6,44,18,5,9,2
19179,Ronnie Price,UTA,2008,PG,228,88,26,62,26,46,78,30,32,3
19180,Tayshaun Prince,DET,2008,SF,1080,421,53,368,185,398,268,91,42,33
19181,Gabe Pruitt,BOS,2008,PG,32,14,3,11,1,8,13,5,5,0
19182,Joel Przybilla,POR,2008,C,371,144,0,144,83,649,27,95,13,93
19183,Chris Quinn,MIA,2008,PG,465,158,64,94,85,118,178,55,46,4
19184,Vladimir Radmanovic,LAL,2008,SF,543,198,95,103,52,215,123,73,46,12
19185,Shavlik Randolph,PHI,2008,PF,8,4,0,4,0,11,3,2,1,3
19186,Zach Randolph,NYK,2008,C,1217,486,22,464,223,710,140,186,59,16
19187,Theo Ratliff,TOT,2008,C-PF,111,41,0,41,29,89,14,21,7,37
19188,Theo Ratliff,MIN,2008,PF,63,23,0,23,17,39,7,12,3,19
19189,Theo Ratliff,DET,2008,C,48,18,0,18,12,50,7,9,4,18
19190,Michael Redd,MIL,2008,SG,1632,550,130,420,402,309,247,181,65,13
19191,J.J. Redick,ORL,2008,SG,140,48,17,31,27,23,16,15,4,0
19192,Chris Richard,MIN,2008,C,98,41,0,41,16,135,18,24,10,12
19193,Jason Richardson,CHA,2008,SF,1788,648,243,405,249,441,258,166,116,57
19194,Jeremy Richardson,TOT,2008,SG-SF,41,16,7,9,2,9,2,6,3,0
19195,Jeremy Richardson,MEM,2008,SF,0,0,0,0,0,1,1,1,0,0
19196,Jeremy Richardson,SAS,2008,SG,10,3,2,1,2,1,1,0,1,0
19197,Jeremy Richardson,ATL,2008,SF,31,13,5,8,0,7,0,5,2,0
19198,Quentin Richardson,NYK,2008,SF,527,199,69,130,60,315,116,69,44,15
19199,Luke Ridnour,SEA,2008,PG,393,147,21,126,78,94,241,80,37,14
19200,Nate Robinson,NYK,2008,PG,913,331,97,234,154,222,212,103,60,1
19201,Sergio Rodriguez,POR,2008,PG,180,69,17,52,25,58,123,53,24,0
19202,Rajon Rondo,BOS,2008,PG,814,351,5,346,107,322,393,147,129,13
19203,Malik Rose,NYK,2008,PF,171,66,2,64,37,103,28,40,16,7
19204,Quinton Ross,LAC,2008,SG,311,131,9,122,40,172,88,29,43,33
19205,Brandon Roy,POR,2008,SG,1416,531,73,458,281,348,430,136,79,16
19206,Michael Ruffin,MIL,2008,C,91,33,0,33,25,186,24,19,31,19
19207,Kareem Rush,IND,2008,SG,588,228,102,126,30,168,89,62,42,19
19208,John Salmons,SAC,2008,SG,1015,381,39,342,214,349,208,170,93,31
19209,Cheikh Samb,DET,2008,C,7,3,0,3,1,7,0,1,1,2
19210,Brian Scalabrine,BOS,2008,PF,88,29,15,14,15,79,40,26,9,8
19211,Luis Scola,HOU,2008,PF,847,345,0,345,157,525,106,105,60,19
19212,Thabo Sefolosha,CHI,2008,SG,464,180,29,151,75,255,129,93,61,30
19213,Mouhamed Sene,SEA,2008,C,30,11,0,11,8,16,1,0,0,7
19214,Ramon Sessions,MIL,2008,PG,137,51,3,48,32,58,127,36,17,3
19215,Bobby Simmons,MIL,2008,SF,531,209,60,149,53,226,80,78,50,5
19216,Cedric Simmons,TOT,2008,PF,8,4,0,4,0,18,0,6,2,5
19217,Cedric Simmons,CLE,2008,PF,4,2,0,2,0,15,0,4,2,5
19218,Cedric Simmons,CHI,2008,PF,4,2,0,2,0,3,0,2,0,0
19219,Courtney Sims,IND,2008,C,0,0,0,0,0,2,1,0,0,0
19220,Brian Skinner,PHO,2008,C,219,92,2,90,33,238,15,39,21,77
19221,Craig Smith,MIN,2008,PF,727,297,0,297,133,353,60,89,36,17
19222,J.R. Smith,DEN,2008,SG,907,311,157,154,128,152,128,112,62,12
19223,Jason Smith,PHI,2008,PF,340,141,4,137,54,230,20,48,22,50
19224,Joe Smith,TOT,2008,PF,778,312,0,312,154,401,66,71,34,47
19225,Joe Smith,CHI,2008,PF,559,225,0,225,109,265,47,49,25,31
19226,Joe Smith,CLE,2008,PF,219,87,0,87,45,136,19,22,9,16
19227,Josh Smith,ATL,2008,PF,1394,518,25,493,333,667,272,245,123,227
19228,Eric Snow,CLE,2008,PG,22,6,0,6,10,20,42,10,10,4
19229,Kirk Snyder,TOT,2008,SF-PF,261,96,5,91,64,126,64,52,20,15
19230,Kirk Snyder,HOU,2008,PF,34,13,2,11,6,12,8,4,1,1
19231,Kirk Snyder,MIN,2008,SF,227,83,3,80,58,114,56,48,19,14
19232,Darius Songaila,WAS,2008,C,495,214,0,214,67,271,135,86,53,16
19233,Jerry Stackhouse,DAL,2008,SG,618,213,60,153,132,133,145,86,28,10
19234,DeShawn Stevenson,WAS,2008,SG,917,301,158,143,157,235,252,102,65,15
19235,Peja Stojakovic,NOH,2008,SF,1263,451,231,220,130,331,96,61,57,10
19236,Awvee Storey,MIL,2008,SG,92,39,0,39,14,54,16,10,7,1
19237,Damon Stoudamire,TOT,2008,PG,317,120,50,70,27,118,165,80,30,2
19238,Damon Stoudamire,MEM,2008,PG,211,77,36,41,21,71,112,50,19,0
19239,Damon Stoudamire,SAS,2008,PG,106,43,14,29,6,47,53,30,11,2
19240,Salim Stoudamire,ATL,2008,PG,200,65,29,36,41,24,28,21,7,5
19241,Amar'e Stoudemire,PHO,2008,C,1989,714,5,709,556,719,118,174,64,163
19242,D.J. Strawberry,PHO,2008,SG,73,29,6,23,9,28,30,11,12,6
19243,Rodney Stuckey,DET,2008,PG,436,153,3,150,127,129,160,78,49,6
19244,Robert Swift,SEA,2008,C,14,6,0,6,2,18,1,10,5,6
19245,Stromile Swift,TOT,2008,PF,343,135,0,135,73,199,26,51,15,54
19246,Stromile Swift,MEM,2008,PF,238,93,0,93,52,129,22,39,10,36
19247,Stromile Swift,NJN,2008,PF,105,42,0,42,21,70,4,12,5,18
19248,Wally Szczerbiak,TOT,2008,SF,861,311,90,221,149,217,104,76,23,12
19249,Wally Szczerbiak,SEA,2008,SF,656,236,71,165,113,136,69,56,14,5
19250,Wally Szczerbiak,CLE,2008,SF,205,75,19,56,36,81,35,20,9,7
19251,Sebastian Telfair,MIN,2008,PG,556,223,32,191,78,135,355,111,59,11
19252,Jason Terry,DAL,2008,SG,1269,471,136,335,191,208,264,92,88,18
19253,Billy Thomas,TOT,2008,SF,14,4,4,0,2,2,0,4,1,0
19254,Billy Thomas,NJN,2008,SF,2,0,0,0,2,0,0,1,0,0
19255,Billy Thomas,CLE,2008,SF,12,4,4,0,0,2,0,3,1,0
19256,Kenny Thomas,SAC,2008,PF,32,16,0,16,0,61,13,21,6,1
19257,Kurt Thomas,TOT,2008,C-PF,443,195,0,195,53,507,67,46,56,57
19258,Kurt Thomas,SEA,2008,C,317,139,0,139,39,369,53,28,35,43
19259,Kurt Thomas,SAS,2008,PF,126,56,0,56,14,138,14,18,21,14
19260,Tim Thomas,LAC,2008,PF,780,291,83,208,115,323,171,98,40,29
19261,Tyrus Thomas,CHI,2008,PF,502,186,1,185,129,342,90,77,48,72
19262,Al Thornton,LAC,2008,PF,1005,374,43,331,214,358,98,128,46,43
19263,Jamaal Tinsley,IND,2008,PG,464,176,40,136,72,141,326,130,66,10
19264,Alando Tucker,PHO,2008,SF,22,8,1,7,5,8,0,0,0,1
19265,Ronny Turiaf,LAL,2008,C,516,188,0,188,140,306,128,72,28,108
19266,Hedo Turkoglu,ORL,2008,SF,1602,556,166,390,324,471,409,246,74,25
19267,Ime Udoka,SAS,2008,PF,423,159,61,98,44,228,63,58,56,17
19268,Beno Udrih,SAC,2008,PG,834,328,53,275,125,217,282,148,56,10
19269,Anderson Varejao,CLE,2008,C,321,136,0,136,49,399,53,59,37,26
19270,Jacque Vaughn,SAS,2008,PG,306,121,3,118,61,74,159,54,23,1
19271,Charlie Villanueva,MIL,2008,PF,886,354,55,299,123,466,78,107,30,35
19272,Marcus Vinicius,NOH,2008,SF,28,9,5,4,5,8,2,3,1,1
19273,Jake Voskuhl,MIL,2008,C,98,37,0,37,24,97,13,29,9,21
19274,Sasha Vujacic,LAL,2008,SG,632,219,118,101,76,154,72,52,36,5
19275,Dwyane Wade,MIA,2008,SG,1254,439,22,417,354,214,354,224,87,37
19276,Von Wafer,TOT,2008,SG,46,17,4,13,8,19,7,13,2,3
19277,Von Wafer,DEN,2008,SG,27,10,1,9,6,10,5,11,2,1
19278,Von Wafer,POR,2008,SG,19,7,3,4,2,9,2,2,0,2
19279,Antoine Walker,MIN,2008,PF,368,136,61,75,35,168,45,46,33,8
19280,Ben Wallace,TOT,2008,C-PF,348,138,0,138,72,604,105,67,88,117
19281,Ben Wallace,CHI,2008,C,255,101,0,101,53,441,92,49,69,80
19282,Ben Wallace,CLE,2008,PF,93,37,0,37,19,163,13,18,19,37
19283,Gerald Wallace,CHA,2008,PF,1200,408,71,337,313,373,216,180,131,58
