Index,Player,Tm,Year,Pos,PTS,FG,3P,2P,FT,TRB,AST,TOV,STL,BLK
14601,Michael Dickerson,VAN,2000,SG,1496,554,119,435,269,279,208,165,116,45
14602,Vlade Divac,SAC,2000,C,1005,384,7,377,230,656,244,190,103,103
14603,Michael Doleac,ORL,2000,C,565,242,1,241,80,334,63,65,29,34
14604,Sherman Douglas,NJN,2000,PG,120,45,5,40,25,29,34,24,17,0
14605,Bryce Drew,HOU,2000,PG,420,158,59,99,45,103,162,66,41,1
14606,Chris Dudley,NYK,2000,C,55,23,0,23,9,136,5,18,7,21
14607,Tim Duncan,SAS,2000,PF,1716,628,1,627,459,918,234,242,66,165
14608,Howard Eisley,UTA,2000,PG,708,282,60,222,84,170,347,132,59,9
14609,Obinna Ekezie,VAN,2000,PF,125,41,0,41,43,92,8,26,9,4
14610,Mario Elie,SAS,2000,SF,590,195,74,121,126,249,193,130,73,9
14611,Sean Elliott,SAS,2000,SF,114,38,13,25,25,47,28,19,12,2
14612,Dale Ellis,TOT,2000,SG,178,66,37,29,9,56,14,20,13,0
14613,Dale Ellis,MIL,2000,SG,123,47,23,24,6,34,6,7,6,0
14614,Dale Ellis,CHH,2000,SG,55,19,14,5,3,22,8,13,7,0
14615,LaPhonso Ellis,ATL,2000,PF,487,209,3,206,66,290,59,52,32,25
14616,Pervis Ellison,BOS,2000,C,53,19,0,19,15,67,13,13,10,8
14617,Evan Eschmeyer,NJN,2000,C,91,38,0,38,15,108,21,21,8,21
14618,Patrick Ewing*,NYK,2000,C,929,361,0,361,207,604,58,142,36,84
14619,Tony Farmer,GSW,2000,PF,465,127,8,119,203,295,74,82,66,16
14620,Jamie Feick,NJN,2000,C,459,181,3,178,94,755,68,59,43,38
14621,Danny Ferry,CLE,2000,PF,463,189,33,156,52,238,67,55,22,24
14622,Michael Finley,DAL,2000,SF,1855,748,99,649,260,518,438,196,109,32
14623,Derek Fisher,LAL,2000,PG,491,167,52,115,105,143,216,75,80,3
14624,Danny Fortson,BOS,2000,PF,419,140,0,140,139,366,29,67,20,5
14625,Greg Foster,SEA,2000,PF,203,91,3,88,18,107,41,28,10,18
14626,Jeff Foster,IND,2000,C,43,13,0,13,17,32,5,2,5,1
14627,Rick Fox,LAL,2000,SF,534,206,59,147,63,198,138,87,52,26
14628,Adonal Foyle,GSW,2000,C,420,193,0,193,34,424,42,71,26,136
14629,Steve Francis,HOU,2000,PG,1388,497,107,390,287,409,507,306,118,29
14630,Todd Fuller,CHH,2000,C,134,51,0,51,32,110,5,27,9,8
14631,Lawrence Funderburke,SAC,2000,PF,483,184,0,184,115,234,33,40,32,20
14632,Kevin Garnett,MIN,2000,PF,1857,759,30,729,309,956,401,268,120,126
14633,Dean Garrett,MIN,2000,C,114,48,0,48,18,140,19,21,8,40
14634,Kiwane Garris,ORL,2000,SG,4,2,0,2,0,1,2,1,0,0
14635,Pat Garrity,ORL,2000,SF,675,258,79,179,80,210,58,85,31,19
14636,Chris Gatling,TOT,2000,PF,1014,365,18,347,266,502,71,169,82,23
14637,Chris Gatling,ORL,2000,PF,598,210,7,203,171,297,40,105,48,10
14638,Chris Gatling,DEN,2000,PF,416,155,11,144,95,205,31,64,34,13
14639,Matt Geiger,PHI,2000,C,629,260,0,260,109,387,39,91,29,22
14640,Devean George,LAL,2000,SF,155,56,16,40,27,75,12,21,10,4
14641,Kendall Gill,NJN,2000,SF,993,396,20,376,181,283,210,89,139,41
14642,Armen Gilliam,UTA,2000,PF,333,133,0,133,67,209,42,55,12,16
14643,Dion Glover,ATL,2000,SG,195,66,12,54,51,38,27,28,15,4
14644,Brian Grant,POR,2000,PF,459,173,1,172,112,344,64,84,32,28
14645,Gary Grant,POR,2000,PG,12,6,0,6,0,3,1,2,1,0
14646,Horace Grant,SEA,2000,PF,612,266,0,266,80,591,188,61,55,60
14647,Devin Gray,HOU,2000,SF,49,15,0,15,19,25,5,4,5,3
14648,A.C. Green,LAL,2000,PF,413,173,1,172,66,486,80,53,53,18
14649,Adrian Griffin,BOS,2000,SG,485,175,16,159,119,372,177,93,116,15
14650,Tom Gugliotta,PHO,2000,PF,738,310,1,309,117,425,124,106,80,31
14651,Darvin Ham,MIL,2000,SF,177,71,0,71,35,172,42,29,29,29
14652,Richard Hamilton,WAS,2000,SG,639,254,28,226,103,129,108,84,28,6
14653,Thomas Hamilton,HOU,2000,C,82,35,0,35,12,90,15,28,4,14
14654,Tom Hammonds,MIN,2000,PF,117,42,0,42,33,101,10,21,8,3
14655,Anfernee Hardaway,PHO,2000,SG,1015,378,33,345,226,347,315,153,94,38
14656,Tim Hardaway,MIA,2000,PG,696,246,94,152,110,150,385,119,49,4
14657,Ron Harper,LAL,2000,PG,557,212,33,179,100,337,270,132,85,39
14658,Matt Harpring,ORL,2000,SF,16,4,2,2,6,12,8,1,5,1
14659,Al Harrington,IND,2000,PF,328,121,8,113,78,159,38,65,25,9
14660,Othella Harrington,VAN,2000,PF,1076,420,0,420,236,563,97,217,36,58
14661,Lucious Harris,NJN,2000,SG,513,198,38,160,79,187,100,42,65,6
14662,Antonio Harvey,POR,2000,PF,41,17,0,17,7,33,5,12,1,6
14663,Hersey Hawkins,CHI,2000,SG,480,159,55,104,107,175,134,100,74,15
14664,Michael Hawkins,CHH,2000,PG,8,3,1,2,1,7,13,3,0,0
14665,Alan Henderson,ATL,2000,PF,1083,429,1,428,224,571,77,139,81,54
14666,Cedric Henderson,CLE,2000,SF,328,129,1,128,69,140,55,68,39,17
14667,Mark Hendrickson,TOT,2000,PF,13,5,0,5,3,13,6,3,2,1
14668,Mark Hendrickson,CLE,2000,PF,12,5,0,5,2,11,3,3,2,1
14669,Mark Hendrickson,NJN,2000,PF,1,0,0,0,1,2,3,0,0,0
14670,Chris Herren,DEN,2000,PG,141,45,24,21,27,52,111,42,15,2
14671,Grant Hill,DET,2000,SF,1906,696,34,662,480,490,385,240,103,43
14672,Tyrone Hill,PHI,2000,PF,815,318,0,318,179,625,52,124,64,27
14673,Fred Hoiberg,CHI,2000,SG,279,89,32,57,69,110,85,43,40,2
