,TEAM,SEASON,W,L,PTS,FGM,3PM,FTM,REB,AST,TOV,STL,BLK,BLKA,PF,PFD
109,New York Knicks,2015-16,32,50,98.4,36.9,7.4,17.2,44.4,20.5,13.4,5.7,5.7,4.2,19.7,18.5
110,Oklahoma City Thunder,2015-16,55,27,110.2,41.1,8.3,19.7,48.6,23,15.9,7.4,5.9,4.5,20.6,20.2
111,Orlando Magic,2015-16,35,47,102.1,39.5,7.8,15.2,43.3,23.6,14.1,8.2,5.1,5.5,20.7,18.3
112,Philadelphia 76ers,2015-16,10,72,97.4,36.2,9.3,15.7,41.2,21.5,16.4,8.3,6,5.7,21.7,19.2
113,Phoenix Suns,2015-16,23,59,100.9,37.2,9,17.5,44.8,20.7,17.2,7.7,3.8,5.5,22.7,21.6
114,Portland Trail Blazers,2015-16,44,38,105.1,38.6,10.5,17.4,45.5,21.3,14.6,6.9,4.6,5.2,21.7,19.5
115,Sacramento Kings,2015-16,33,49,106.6,40,8,18.5,44.2,24.5,16.2,8.9,4.5,5.3,20.4,22
116,San Antonio Spurs,2015-16,67,15,103.5,40.1,7,16.4,43.9,24.5,13.1,8.3,5.9,3.9,17.5,19.5
117,Toronto Raptors,2015-16,56,26,102.7,36.7,8.6,20.8,43.4,18.7,13.1,7.8,5.5,5.4,19.6,22
118,Utah Jazz,2015-16,40,42,97.7,36.1,8.5,17.1,43.2,19,14.9,7.7,5.2,4.7,20.2,19.9
119,Washington Wizards,2015-16,41,41,104.1,39.5,8.6,16.5,41.8,24.5,14.5,8.6,3.9,4.3,20.8,20.1
120,Atlanta Hawks,2014-15,60,22,102.5,38.1,10,16.5,40.6,25.7,14.2,9.1,4.6,4.9,17.8,19.6
121,Boston Celtics,2014-15,40,42,101.4,38.9,8,15.4,43.8,24.5,13.8,8.2,3.6,5.3,21.2,18.8
122,Brooklyn Nets,2014-15,38,44,98,37.4,6.6,16.6,42.4,20.9,13.8,7,4.1,4.5,19.3,20
123,Charlotte Hornets,2014-15,33,49,94.2,35.5,6.1,17,44.1,20.2,11.9,6.1,5.5,5.4,18.2,20.8
124,Chicago Bulls,2014-15,50,32,100.8,36.6,7.9,19.7,45.7,21.7,14,6.3,5.8,5.4,18.2,21.2
125,Cleveland Cavaliers,2014-15,53,29,103.1,37.7,10.1,17.7,43,22.1,14.3,7.4,4.1,4.5,18.4,20.5
126,Dallas Mavericks,2014-15,50,32,105.2,39.7,8.9,16.9,42.3,22.5,13,8.1,4.5,3.8,20,22.1
