,TEAM,SEASON,W,L,PTS,FGM,3PM,FTM,REB,AST,TOV,STL,BLK,BLKA,PF,PFD
419,Washington Wizards,2005-06,42,40,101.7,36.3,6.1,23,41.2,18.6,13.9,8,4.1,4.2,22.6,25
420,Atlanta Hawks,2004-05,13,69,92.7,35.9,3.7,17.3,41.9,19.7,16.1,7.7,4.2,5.9,24.5,0
421,Boston Celtics,2004-05,45,37,101.3,37.1,5.3,21.6,40.8,22.1,15.8,8.1,5.2,4.9,24.4,0
422,Charlotte Bobcats,2004-05,18,64,94.3,36.1,3.9,18.1,41.7,21.9,14.5,8.5,5.4,5.4,23.1,0
423,Chicago Bulls,2004-05,47,35,94.5,34.7,6.2,18.7,43.8,21.3,16.7,7,4.5,5.3,24.7,0.1
424,Cleveland Cavaliers,2004-05,42,40,96.5,36.5,3.7,19.9,42.3,22.6,13.9,8,5.6,5.1,22.6,0
425,Dallas Mavericks,2004-05,58,24,102.5,37.3,5.6,22.3,42.9,19.6,13.4,8.6,5.6,4.9,22.3,0
426,Denver Nuggets,2004-05,49,33,99.5,37,3.9,21.5,42,23.9,14.9,9.1,6,5.6,22.9,0.1
427,Detroit Pistons,2004-05,54,28,93.3,34.8,4.4,19.4,43.4,21.8,13.8,7,6.1,4.5,20,0
428,Golden State Warriors,2004-05,34,48,98.7,36.9,7.6,17.2,42.7,22.1,13.6,7.8,5.1,5.1,22.4,0
429,Houston Rockets,2004-05,51,31,95.1,34.7,6.7,18.9,42.4,21.1,13.8,6.9,4.6,4.1,22,0
430,Indiana Pacers,2004-05,44,38,93,32.5,6.6,21.3,40.1,18.2,14.3,7.5,4.4,4.9,23,0.1
431,Los Angeles Clippers,2004-05,37,45,95.7,35.7,2.8,21.6,41.9,23.2,15.7,7.3,5.1,4.8,22.2,0
432,Los Angeles Lakers,2004-05,34,48,98.7,35.3,7.9,20.3,43.2,20.4,14.3,6.2,4.2,5.1,21.9,0
433,Memphis Grizzlies,2004-05,45,37,93.4,34.2,6.5,18.6,39,20.9,14.6,8.5,5.8,5.8,23.3,0
434,Miami Heat,2004-05,59,23,101.5,37.8,5.8,20.2,43,21.8,13.7,6.4,5.8,3.2,22.1,0
435,Milwaukee Bucks,2004-05,30,52,97.2,36.1,4,21,41.3,21,13.8,6.5,3.5,4.5,21.9,0.1
436,Minnesota Timberwolves,2004-05,44,38,96.8,37.1,4.8,17.7,43,23.4,13.2,5.6,5.5,3.9,21.6,0
437,New Jersey Nets,2004-05,42,40,91.4,33.6,5.3,19,39.5,21.6,14.2,7.9,3.8,4.9,24.2,0
438,New Orleans Hornets,2004-05,18,64,88.4,33.1,5.1,17.1,40.2,21,14.8,6.7,3.8,5.5,23,0
439,New York Knicks,2004-05,33,49,97.3,36.3,5.4,19.3,41,20.3,14.7,7.7,3.2,4.7,23.7,0.1
440,Orlando Magic,2004-05,36,46,99.5,37,3.9,21.6,43.7,19.3,16.1,7.7,5.4,4.3,23.6,0
441,Philadelphia 76ers,2004-05,43,39,99.1,35.9,6.2,21.1,42,20.9,15.5,9.2,3.9,4.7,22.9,0
442,Phoenix Suns,2004-05,62,20,110.4,40.9,9.7,19,44.1,23.5,13.7,7,5.5,4.2,19.1,0
443,Portland Trail Blazers,2004-05,27,55,92.9,35.3,5.1,17.2,41.1,21,16,7.1,6.6,5,20.8,0.1
444,Sacramento Kings,2004-05,50,32,103.7,39.1,6.4,19.2,42.4,24.5,13.1,8.2,3.9,4.5,20.5,0
445,San Antonio Spurs,2004-05,59,23,96.2,35.6,6.2,18.7,42.4,21.6,13.7,7.5,6.6,5.1,20.9,0
446,Seattle SuperSonics,2004-05,52,30,98.9,35.1,8.1,20.5,40.9,18.1,13.6,6.7,4.1,4.8,23.7,0.1
447,Toronto Raptors,2004-05,33,49,99.7,36,7.9,19.8,40.1,20.4,13.3,7.6,3.9,4.4,22.9,0
448,Utah Jazz,2004-05,26,56,93,34.5,3,21,40.1,22.3,15.8,6.6,4.6,5.8,26.7,0
449,Washington Wizards,2004-05,45,37,100.5,36.2,6.3,21.9,42.8,19.1,14.3,8.7,4.2,5,22,0
450,Atlanta Hawks,2003-04,28,54,92.8,34.5,5.1,18.7,42.7,20.1,16.5,7.6,5,5.1,22.3,0
451,Boston Celtics,2003-04,36,46,95.3,34.7,6.7,19.2,40.1,20.5,16.2,9.4,4,5,22.4,0
452,Chicago Bulls,2003-04,23,59,89.7,34.1,5.2,16.2,43.5,21.9,16.1,8,4.8,5.4,23.3,0
453,Cleveland Cavaliers,2003-04,35,47,92.9,35.6,3,18.6,45.6,22,14.8,7.1,6.5,5.3,21.3,0
454,Dallas Mavericks,2003-04,52,30,105.2,40.5,6.2,18,45.3,23.9,12.2,8,5.3,4.7,19.6,0
455,Denver Nuggets,2003-04,43,39,97.2,36.5,4,20.2,42.3,21.9,15.6,9.1,6.3,5.8,22,0.1
456,Detroit Pistons,2003-04,54,28,90.1,33.5,4.1,19,42.8,20.8,15.1,8,7,5,20.3,0
457,Golden State Warriors,2003-04,37,45,93.3,35.1,5.2,17.9,43.1,20.5,14.8,7,4.7,5.1,20.6,0
458,Houston Rockets,2003-04,45,37,89.8,33.4,6.3,16.7,42.6,19.3,16.7,6.8,5.4,4.4,21.5,0
459,Indiana Pacers,2003-04,61,21,91.4,33.6,5.5,18.8,41.7,21.6,14.4,8.9,5,6.2,20.8,0.1
460,Los Angeles Clippers,2003-04,28,54,94.8,34.4,4,22,43.5,20.2,16.4,7.2,4.6,5.3,22.1,0
461,Los Angeles Lakers,2003-04,56,26,98.2,36.9,4.5,19.9,43.1,23.8,13.8,8.3,4.6,3.8,21.1,0.1
462,Memphis Grizzlies,2003-04,50,32,96.7,36.1,5.5,19,41.8,23.4,15,9.7,6.9,5.6,23.2,0
463,Miami Heat,2003-04,42,40,90.3,33.3,5.9,17.8,41.5,19.1,13.9,7.2,3.8,5.4,22.1,0
464,Milwaukee Bucks,2003-04,41,41,98,36.2,4.9,20.7,42.2,22.8,13.5,6.8,4.7,5,20.3,0
465,Minnesota Timberwolves,2003-04,58,24,94.5,37,4,16.6,42.9,23,12.7,6.8,5.6,3.6,21.1,0.1
466,New Jersey Nets,2003-04,47,35,90.3,34.3,4.6,17,40.7,24.5,14.7,8.6,3.9,4.6,21,0.1
467,New Orleans Hornets,2003-04,41,41,91.8,33.8,6.5,17.7,42.8,20.9,15,8.6,4.2,5.2,20.9,0.1
468,New York Knicks,2003-04,39,43,92,35.1,5,16.8,42.6,20.7,15.7,7.4,4.8,4.7,23.1,0
469,Orlando Magic,2003-04,21,61,94,35.4,5.2,18,40.9,19.3,13.7,6.7,3.8,5.5,21.3,0
470,Philadelphia 76ers,2003-04,33,49,88,32.7,4.1,18.4,40.8,20,15.9,8,4.4,5.6,20.7,0
471,Phoenix Suns,2003-04,29,53,94.2,36.1,5.1,17,40.6,19.3,15.2,9,4.7,5.3,22.7,0
472,Portland Trail Blazers,2003-04,41,41,90.7,35.3,4.6,15.4,41.7,21.6,14.8,7.5,5.4,4.8,19,0
473,Sacramento Kings,2003-04,55,27,102.8,37.8,7.3,19.8,41.2,26.2,13.9,8.7,4,5,19.3,0
474,San Antonio Spurs,2003-04,57,25,91.5,34.7,5,17.2,45.1,20.4,14.7,8.1,6.5,4.6,20.3,0
475,Seattle SuperSonics,2003-04,37,45,97.1,35.8,8.8,16.6,39.3,21.7,14.5,8.1,4.7,4.7,21.8,0.1
476,Toronto Raptors,2003-04,33,49,85.4,32.4,5.6,15.1,39.6,19.2,14.2,7.4,4.9,4.1,21.3,0
477,Utah Jazz,2003-04,42,40,88.7,32.8,3.1,20,41.2,20.4,16.6,7.1,6,6.5,25.6,0.1
478,Washington Wizards,2003-04,25,57,91.8,33.6,5.3,19.3,42.8,18.7,17.5,8.9,5,5.5,20.9,0
479,Atlanta Hawks,2002-03,35,47,94.1,34.9,4.9,19.4,42.6,20.5,16.7,7.5,5.8,5,21.7,0.1
480,Boston Celtics,2002-03,44,38,92.7,32.9,8.8,18,40.5,19.2,14,8.8,3.7,4.5,21.4,0
481,Chicago Bulls,2002-03,30,52,95,36.5,4.3,17.7,43,21.7,16.9,7.4,5.6,5,24.7,0.1
482,Cleveland Cavaliers,2002-03,17,65,91.4,34.8,3.6,18.3,44.6,20.9,18.3,7.8,6.4,6,22.7,0.1
483,Dallas Mavericks,2002-03,60,22,103,38.5,7.8,18.1,42.1,22.4,11.6,8.1,5.5,3.9,21.1,0.1
484,Denver Nuggets,2002-03,17,65,84.2,32.8,2.8,15.8,42.4,21.2,18.5,8.7,5.1,6.6,25.1,0.1
485,Detroit Pistons,2002-03,50,32,91.4,32.9,6.5,19,40.6,19.8,13.5,6.8,5.7,4.3,21.3,0.2
486,Golden State Warriors,2002-03,38,44,102.4,37.3,5.2,22.6,46.7,20.9,15.8,7.2,6.2,6,21.8,0
487,Houston Rockets,2002-03,43,39,93.8,34.6,5.4,19.1,43.8,18.4,15.6,7.2,6,4.6,19.5,0.1
488,Indiana Pacers,2002-03,48,34,96.8,35.5,4.6,21.2,44.2,23.3,14.8,8.5,5.4,6.3,22.1,0.1
489,Los Angeles Clippers,2002-03,27,55,93.8,34.6,4.8,19.9,42.3,19.6,15.7,7,5.6,5.1,21.8,0
490,Los Angeles Lakers,2002-03,50,32,100.4,37.7,5.9,19,44.3,23.3,14.5,7.8,5.7,3.8,22.9,0.1
491,Memphis Grizzlies,2002-03,28,54,97.5,37.2,5.7,17.4,41.6,23.1,15.4,7.9,6.1,5.2,20.5,0
492,Miami Heat,2002-03,25,57,85.6,32.8,4.2,15.8,41.6,18.3,14.2,7.2,4,5.3,22.6,0.1
493,Milwaukee Bucks,2002-03,42,40,99.5,37.1,7.1,18.1,39.5,22.2,12.7,7.6,4.2,4.1,22.2,0.1
494,Minnesota Timberwolves,2002-03,51,31,98.1,38.7,3.6,17.1,43.6,25.2,13.7,6.7,5.3,4.9,20.8,0
495,New Jersey Nets,2002-03,49,33,95.4,35.4,4.2,20.3,42.9,23,14.8,8.7,4.6,5.2,21.6,0.1
496,New Orleans Hornets,2002-03,47,35,93.9,35.5,4.9,17.9,43.6,22,14.8,8,4.8,5.2,21.6,0.1
497,New York Knicks,2002-03,37,45,95.9,36.2,7.4,16.1,39.2,22,14,7.1,3.1,3.8,23,0.1
498,Orlando Magic,2002-03,42,40,98.5,35.9,6.9,19.7,40.9,20.4,14.4,8.5,3.7,5,23,0.1
499,Philadelphia 76ers,2002-03,48,34,96.8,36.3,3,21.3,42.2,21.6,14.8,10.3,3.5,6.4,22,0.1
500,Phoenix Suns,2002-03,44,38,95.5,36.6,4.8,17.4,42.5,21,14.7,8.1,4.9,5.5,22,0.1
501,Portland Trail Blazers,2002-03,50,32,95.2,36.4,4.6,17.7,41.1,22.7,15.2,8.8,3.9,4.8,19.9,0.1
502,Sacramento Kings,2002-03,59,23,101.7,39.5,6,16.7,44.5,24.8,14.5,9,5.6,4.3,20.3,0
503,San Antonio Spurs,2002-03,60,22,95.8,35.5,5.5,19.4,42.6,20,15.8,7.7,6.5,5.1,20.4,0
504,Seattle SuperSonics,2002-03,40,42,92.1,35.2,5.6,16.2,40.8,21.6,13.2,8.3,3.6,5,20.9,0.1
505,Toronto Raptors,2002-03,24,58,90.9,34.7,5,16.5,41.2,19.3,14.4,7.4,4.8,5,21.5,0.1
506,Utah Jazz,2002-03,47,35,94.7,35.3,2.7,21.3,41.5,25.6,16.8,8.6,5.7,5.2,22.4,0.1
507,Washington Wizards,2002-03,37,45,91.5,34.3,3.1,19.7,40.4,19.7,13.4,7.6,4.8,4.4,20,0
508,Atlanta Hawks,2001-02,33,49,94,35.4,5.2,18.1,41.5,20.2,15.5,8.1,4.3,6.2,20.8,0.1
509,Boston Celtics,2001-02,49,33,96.4,34.8,8.5,18.3,42.2,21,13.6,9.7,3.6,5.8,21.7,0
510,Charlotte Hornets,2001-02,44,38,93.9,35.3,4.2,19.1,43.5,21.5,14,8,5.6,5.1,21.3,0.2
511,Chicago Bulls,2001-02,21,61,89.5,34.3,3.7,17.2,40,22.2,15.3,7.7,4.4,4.9,22.4,0.2
512,Cleveland Cavaliers,2001-02,29,53,95.3,36,4.7,18.6,42.1,23.1,14.6,7,5.7,5.6,21.4,0.1
513,Dallas Mavericks,2001-02,57,25,105.2,39,7.6,19.6,42.5,22.1,12.1,7.1,4.8,4.6,22.5,0.1
514,Denver Nuggets,2001-02,27,55,92.2,35.5,5.2,15.9,41.8,22.2,14.7,7.5,5.6,6.8,22.8,0.1
515,Detroit Pistons,2001-02,50,32,94.3,34.7,6.9,18,38.7,21.5,14.5,7.9,6.9,4.1,20.7,0.1
516,Golden State Warriors,2001-02,21,61,97.7,36.6,3.9,20.6,46.7,20.8,16.8,7.9,6.4,6.3,23,0.2
517,Houston Rockets,2001-02,28,54,92.3,34.6,6,17.1,41.9,18.1,14.1,6.5,5.4,5.1,18,0.1
518,Indiana Pacers,2001-02,42,40,96.8,35.8,4.9,20.3,42.7,23,15.2,8,5.3,5.7,22.9,0.2
519,Los Angeles Clippers,2001-02,39,43,95.7,36.2,5,18.3,43.4,20.9,14.8,6.2,6.6,5.4,19.8,0.1
520,Los Angeles Lakers,2001-02,58,24,101.3,38.4,6.2,18.2,44.3,23,12.7,7.6,5.8,4.3,22.2,0.1
521,Memphis Grizzlies,2001-02,23,59,89.9,34.8,4.1,16.3,41.4,21.8,16.4,7.9,6,5.6,19.2,0.1
522,Miami Heat,2001-02,36,46,87.2,34.2,3.8,15.1,42,20.3,14.8,6.7,5.5,4.3,22.5,0.2
523,Milwaukee Bucks,2001-02,41,41,97.5,37.1,7.2,16.1,41.4,22.5,14.1,7.3,4.7,4.4,21.8,0.1
524,Minnesota Timberwolves,2001-02,50,32,99.3,38.7,4.8,17.1,44.2,24.3,13.4,6.4,5.2,5,21.2,0.1
525,New Jersey Nets,2001-02,52,30,96.2,37.1,4.9,17.1,43.3,24.3,14.5,8.7,6,5.4,21.1,0.1
526,New York Knicks,2001-02,30,52,91.6,34.4,5.8,17.1,40.7,21,14.5,6.8,3.5,4.7,22,0.2
527,Orlando Magic,2001-02,44,38,100.5,37.6,7.6,17.6,41.2,22,13.6,8.1,4.7,4.7,20.7,0.1
528,Philadelphia 76ers,2001-02,43,39,91,34.2,2.6,20,44.2,20,15.3,8.6,4.4,5.6,20.1,0.2
529,Phoenix Suns,2001-02,36,46,95.1,37.8,4.4,15.2,42.7,22.4,14.7,8.1,4.9,5.8,21.8,0.1
530,Portland Trail Blazers,2001-02,49,33,96.6,36.6,5.7,17.7,43,23.5,14.3,8.6,4.5,5,19.7,0.1
531,Sacramento Kings,2001-02,61,21,104.6,39.8,5.2,19.7,45.3,23.9,13.8,9,4.6,4.7,19,0.1
532,San Antonio Spurs,2001-02,58,24,96.7,35.5,5.3,20.3,42.4,20,14.4,7.6,6.5,5.2,19.2,0.1
533,Seattle SuperSonics,2001-02,45,37,97.7,38.2,6,15.4,40.3,23.5,13.7,8.5,4.4,4.9,21.1,0.1
534,Toronto Raptors,2001-02,42,40,91.4,35.6,4.7,15.5,42.1,21.7,14.3,8.4,5.6,4.8,21.6,0.1
535,Utah Jazz,2001-02,44,38,96,35,3.4,22.6,42.2,24.4,16.5,9.1,6.4,6.7,24,0.1
536,Washington Wizards,2001-02,37,45,92.8,35.8,3.7,17.4,42,20.9,13,7,4.3,5,21.5,0.1
537,Atlanta Hawks,2000-01,25,57,91,35.1,4.1,16.8,42.9,19,16.7,7.7,4.7,6.3,22.7,0.1
538,Boston Celtics,2000-01,36,46,94.6,33.8,7.2,19.8,39.8,20.8,15.7,9.4,4.1,5.4,23.8,0
539,Charlotte Hornets,2000-01,46,36,91.9,34.1,4.1,19.5,44.4,23.2,14.4,8.1,5.5,4.6,21.4,0.1
540,Chicago Bulls,2000-01,15,67,87.6,33.2,4,17.2,38.9,22.1,15.8,8.2,4.6,5.2,23.2,0
541,Cleveland Cavaliers,2000-01,30,52,92.2,35.2,2.7,19,42.1,20.8,16.5,7.8,5.3,6.6,23.2,0.1
542,Dallas Mavericks,2000-01,53,29,100.5,37.6,6.3,18.9,41.5,21.2,13.9,7.5,6,4.6,23.3,0.1
543,Denver Nuggets,2000-01,40,42,96.6,36.3,6.2,17.7,44.2,24,13.9,6.7,6.6,6.1,22.2,0
544,Detroit Pistons,2000-01,32,50,95.6,35.6,4.7,19.6,45.5,19.9,15.9,7.5,5.5,4.8,23.8,0.1
545,Golden State Warriors,2000-01,17,65,92.5,35.8,3.4,17.4,45.5,21.8,15.9,9,5,6,21.1,0.1
546,Houston Rockets,2000-01,45,37,97.2,35.9,6.1,19.3,42,19.7,14.7,7.2,4.4,4.9,20.2,0
547,Indiana Pacers,2000-01,41,41,92.6,34.5,4.8,18.8,42.9,21.5,15.2,6.9,5.9,4.7,23.5,0.1
548,Los Angeles Clippers,2000-01,31,51,92.5,35.3,4.4,17.4,42.9,19.3,15.8,6,6.3,5,21.6,0
549,Los Angeles Lakers,2000-01,56,26,100.6,37.9,5.4,19.4,44.7,23,14.4,6.9,6,4,22.8,0.1
550,Miami Heat,2000-01,50,32,88.9,32.9,5.8,17.4,39.6,19.9,13.7,7.7,3.7,5.2,21,0.1
551,Milwaukee Bucks,2000-01,52,30,100.7,38,6.9,18,42.4,22.5,13.7,8.2,4.7,4.3,23.5,0.1
552,Minnesota Timberwolves,2000-01,47,35,97.3,38.4,3.9,16.6,42.3,25.4,13.9,8.3,5.6,4.4,23.2,0.1
553,New Jersey Nets,2000-01,26,56,92.1,33.9,4.4,19.9,39.6,19.5,14.7,7.9,5,6.4,24.2,0
554,New York Knicks,2000-01,48,34,88.7,33.6,4.8,16.8,40.2,18.5,14.5,6.6,4.2,4.1,22.7,0.1
555,Orlando Magic,2000-01,43,39,97.5,36.7,6,18,42.9,22,15.2,8.2,5.9,5.4,25.3,0.1
556,Philadelphia 76ers,2000-01,56,26,94.7,35.4,3.2,20.7,44.8,20.6,15.8,8.4,5,5.6,20.4,0
557,Phoenix Suns,2000-01,51,31,94,35.9,4,18.2,42.7,23.2,15.3,9.5,5.2,5.1,22.7,0.1
558,Portland Trail Blazers,2000-01,50,32,95.4,36.6,4.5,17.6,42,23.9,15.3,8.2,5.1,4,21.3,0.1
559,Sacramento Kings,2000-01,55,27,101.7,38.2,5.8,19.5,45,22.6,14.9,9.7,5.3,5.8,19.5,0
560,San Antonio Spurs,2000-01,58,24,96.2,35.2,5.4,20.4,44.1,21.7,14,6.9,7,5.2,18.9,0
561,Seattle SuperSonics,2000-01,44,38,97.3,36.9,5.7,17.7,41.7,21.9,15.3,8,5,6.2,21.1,0.1
562,Toronto Raptors,2000-01,47,35,97.6,37.2,5.2,18.1,44.5,24.4,13.2,7.3,6.3,5.4,21.3,0.1
563,Utah Jazz,2000-01,53,29,97.1,36.1,4,20.9,40.6,25.7,15.8,8.1,5.6,5.5,25.7,0.1
564,Vancouver Grizzlies,2000-01,23,59,91.7,35,4,17.8,40.5,23.2,15.7,7.1,4.4,5.8,21.1,0.1
565,Washington Wizards,2000-01,19,63,93.2,34.5,3.4,20.8,41.3,20.1,17,7.7,4.7,6.2,23.3,0.1
